seed,tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,checksum
42,random,balanced,5000,50000,7467,42533,6.989,1.459,25.465,0.304,194.542,17.456,133.357,323584,25000,305512,54926
42,random,balanced,5100,50000,7525,42475,12.755,0.839,24.726,0.188,117.417,29.464,139.915,110592,25500,311612,56228
42,random,balanced,5200,50000,7634,42366,4.853,0.852,18.306,0.468,227.706,21.481,267.198,418696,26000,317712,54810
42,random,balanced,5300,50000,7536,42464,9.527,1.33,15.749,0.153,200.695,11.845,150.944,696320,26500,323812,61116
42,random,balanced,5400,50000,7555,42445,5.314,0.907,13.775,0.158,110.04,15.192,121.363,442096,27000,329912,56931
42,random,balanced,5500,50000,7527,42473,8.896,2.05,20.586,0.149,164.378,10.04,80.169,479036,27500,336012,59697
42,random,balanced,5600,50000,7456,42544,7.569,1.193,20.145,0.174,145.954,16.88,122.301,446768,28000,342112,58735
42,random,balanced,5700,50000,7476,42524,7.207,1.093,30.6,0.308,223.573,27.997,204.55,472844,28500,348212,64176
42,random,balanced,5800,50000,7540,42460,5.668,0.922,28.906,0.316,156.409,31.344,169.604,492632,29000,354312,59214
42,random,balanced,5900,50000,7624,42376,11.46,2.413,27.772,0.176,231.581,11.507,95.952,506060,29500,360412,64555
42,random,balanced,6000,50000,7531,42469,16.167,1.892,32.708,0.317,260.501,17.288,137.685,517088,30000,366512,62629
42,random,balanced,6100,50000,7499,42501,6.838,0.716,25.602,0.2,232.642,35.747,324.829,519948,30500,372612,64352
42,random,balanced,6200,50000,7314,42686,12.941,1.919,20.988,0.161,188.854,10.936,98.403,520048,31000,378712,64675
42,random,balanced,6300,50000,7500,42500,7.996,0.999,17.125,0.205,189.645,17.142,189.835,827392,31500,384812,67372
42,random,balanced,6400,50000,7475,42525,11.761,2.047,35.307,0.304,236.139,17.247,115.353,542448,32000,390912,67562
42,random,balanced,6500,50000,7675,42325,6.57,0.91,15.124,0.168,169.822,16.618,186.597,159744,32500,397012,64848
