tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,6400,50000,7411.0,42589.0,14.032,2.906,36.567,0.353,296.604,12.223,102.052,683376.0,32000.0,390912.0,12.581000000000001,3.000666666666667,37.611333333333334,1.529747364763214,0.2152262375579087,3.4289255362771205
path,balanced,6500,50000,7475.0,42525.0,13.3,2.909,34.124,0.261,294.332,11.732,103.778,695076.0,32500.0,397012.0,12.165,2.856,34.61566666666667,1.0872152500770027,0.1736749838059586,0.9164247559583558
path,balanced,6600,50000,7442.0,42558.0,13.733,3.134,37.598,0.258,300.047,11.998,92.572,706776.0,33000.0,403112.0,13.898333333333333,3.064666666666666,41.958666666666666,4.130518409756012,0.23287407183568812,8.975172663148788
path,balanced,6700,50000,7459.0,42541.0,14.815,3.528,37.539,0.282,299.213,10.64,83.463,718476.0,33500.0,409212.0,12.062666666666667,3.3800000000000003,39.671,3.3916935789268066,0.4900581598137101,4.771694457946777
path,balanced,6800,50000,7469.0,42531.0,13.863,2.946,36.638,0.279,299.181,12.424,101.455,730176.0,34000.0,415312.0,12.378,2.943,36.42766666666667,0.15423358907838444,0.007937253933193653,0.543908386893721
path,balanced,6900,50000,7475.0,42525.0,15.525,3.451,39.937,0.278,302.25,10.707,87.581,741876.0,34500.0,421412.0,11.617333333333335,3.4170000000000003,39.169999999999995,1.8725470176562542,0.45096230441135543,1.9529334346054874
path,balanced,7000,50000,7569.0,42431.0,14.967,3.084,41.044,0.297,309.304,14.139,97.939,753576.0,35000.0,427512.0,13.869666666666667,3.080666666666667,42.558,2.534754688985373,0.1760236726503947,6.949803738236065
path,balanced,7100,50000,7486.0,42514.0,14.954,2.961,37.669,0.286,316.447,12.337,103.483,172032.0,35500.0,433612.0,12.440666666666667,2.972,36.973,0.24736679917348142,0.08801704380402688,1.3339460258945983
path,balanced,7200,50000,7483.0,42517.0,18.415,3.757,39.59,0.278,314.49,9.981,86.623,776976.0,36000.0,439712.0,10.925333333333333,3.703666666666667,39.739,1.8303634429624445,0.6416645021608516,2.3190927105228
path,balanced,7300,50000,7528.0,42472.0,16.103,3.037,36.76,0.297,322.661,12.103,106.614,788676.0,36500.0,445812.0,12.352666666666666,3.6783333333333332,45.815333333333335,0.47016628264193205,1.2064503028858395,16.954654827902967
path,balanced,7400,50000,7491.0,42509.0,16.099,3.029,38.613,0.308,326.732,13.104,104.119,800376.0,37000.0,451912.0,13.473999999999998,3.0453333333333332,40.983666666666664,1.510381077741641,0.10743525181863416,4.208719678635459
